"V1" "V11"
"599" "dpy-22" "WBGene00001081"
"600" "dpy-23" "WBGene00001082"
"601" "dpy-26" "WBGene00001085"
"602" "dpy-27" "WBGene00001086"
"603" "dpy-28" "WBGene00001087"
"604" "dpy-30" "WBGene00001088"
"605" "dre-1" "WBGene00001089"
"606" "drh-1" "WBGene00001090"
"607" "drh-2" "WBGene00001091"
"608" "dro-1" "WBGene00001092"
"609" "drp-1" "WBGene00001093"
"610" "dars-1" "WBGene00001094"
"611" "dars-2" "WBGene00001095"
"612" "dsc-4" "WBGene00001099"
"613" "dsh-1" "WBGene00001101"
"614" "dsh-2" "WBGene00001102"
"615" "dsl-3" "WBGene00001105"
"616" "duo-1" "WBGene00001110"
"617" "duo-3" "WBGene00001112"
"618" "dur-1" "WBGene00001113"
"619" "dyb-1" "WBGene00001115"
"620" "dyc-1" "WBGene00001116"
"621" "dyf-2" "WBGene00001118"
"622" "dyf-3" "WBGene00001119"
"623" "dyf-6" "WBGene00001122"
"624" "dyn-1" "WBGene00001130"
"625" "dys-1" "WBGene00001131"
"626" "alp-1" "WBGene00001132"
"627" "eat-3" "WBGene00001134"
"628" "eat-5" "WBGene00001136"
"629" "eat-6" "WBGene00001137"
"630" "eat-16" "WBGene00001145"
"631" "eat-20" "WBGene00001148"
"632" "bcat-1" "WBGene00001149"
"633" "ech-1" "WBGene00001150"
"634" "ech-3" "WBGene00001152"
"635" "ech-4" "WBGene00001153"
"636" "ech-6" "WBGene00001155"
"637" "ech-7" "WBGene00001156"
"638" "ech-9" "WBGene00001158"
"639" "efk-1" "WBGene00001160"
"640" "efl-1" "WBGene00001161"
"641" "efl-2" "WBGene00001162"
"642" "efn-2" "WBGene00001163"
"643" "efn-3" "WBGene00001164"
"644" "efn-4" "WBGene00001165"
"645" "eftu-2" "WBGene00001166"
"646" "eef-2" "WBGene00001167"
"647" "eef-1A.2" "WBGene00001169"
"648" "egl-3" "WBGene00001172"
"649" "egl-4" "WBGene00001173"
"650" "egl-6" "WBGene00001175"
"651" "egl-8" "WBGene00001177"
"652" "egl-9" "WBGene00001178"
"653" "egl-10" "WBGene00001179"
"654" "egl-13" "WBGene00001182"
"655" "egl-18" "WBGene00001186"
"656" "egl-19" "WBGene00001187"
"657" "egl-21" "WBGene00001189"
"658" "egl-26" "WBGene00001193"
"659" "egl-27" "WBGene00001194"
"660" "egl-44" "WBGene00001208"
"661" "egl-45" "WBGene00001209"
"662" "egl-47" "WBGene00001211"
"663" "ego-1" "WBGene00001214"
"664" "ego-2" "WBGene00001215"
"665" "ehs-1" "WBGene00001224"
"666" "eif-3.B" "WBGene00001225"
"667" "eif-3.C" "WBGene00001226"
"668" "eif-3.D" "WBGene00001227"
"669" "eif-3.E" "WBGene00001228"
"670" "eif-3.F" "WBGene00001229"
"671" "eif-3.G" "WBGene00001230"
"672" "eif-3.H" "WBGene00001231"
"673" "eif-3.I" "WBGene00001232"
"674" "eif-3.K" "WBGene00001233"
"675" "eif-6" "WBGene00001234"
"676" "elb-1" "WBGene00001235"
"677" "elc-1" "WBGene00001236"
"678" "elo-1" "WBGene00001239"
"679" "elo-2" "WBGene00001240"
"680" "elo-3" "WBGene00001241"
"681" "elo-4" "WBGene00001242"
"682" "elo-5" "WBGene00001243"
"683" "elo-6" "WBGene00001244"
"684" "elo-7" "WBGene00001245"
"685" "elo-8" "WBGene00001246"
"686" "elo-9" "WBGene00001247"
"687" "elp-1" "WBGene00001248"
"688" "elt-1" "WBGene00001249"
"689" "elt-2" "WBGene00001250"
"690" "elt-3" "WBGene00001251"
"691" "elt-6" "WBGene00001253"
"692" "emb-4" "WBGene00001258"
"693" "emb-5" "WBGene00001259"
"694" "emb-8" "WBGene00001262"
"695" "emb-9" "WBGene00001263"
"696" "emb-27" "WBGene00001281"
"697" "emb-30" "WBGene00001284"
"698" "emo-1" "WBGene00001303"
"699" "emr-1" "WBGene00001309"
"700" "ent-1" "WBGene00001320"
"701" "eor-1" "WBGene00001324"
"702" "eor-2" "WBGene00001325"
"703" "epi-1" "WBGene00001328"
"704" "epn-1" "WBGene00001329"
"705" "erd-2" "WBGene00001331"
"706" "eri-1" "WBGene00001332"
"707" "erm-1" "WBGene00001333"
"708" "ero-1" "WBGene00001334"
"709" "erp-1" "WBGene00001335"
"710" "qars-1" "WBGene00001336"
"711" "ears-1" "WBGene00001337"
"712" "ears-2" "WBGene00001338"
"713" "etr-1" "WBGene00001340"
"714" "evl-14" "WBGene00001352"
"715" "evl-20" "WBGene00001358"
"716" "exc-4" "WBGene00001365"
"717" "exc-5" "WBGene00001366"
"718" "exc-7" "WBGene00001368"
"719" "exl-1" "WBGene00001371"
"720" "exo-3" "WBGene00001372"
"721" "far-1" "WBGene00001385"
"722" "far-2" "WBGene00001386"
"723" "far-6" "WBGene00001390"
"724" "far-8" "WBGene00001392"
"725" "fat-1" "WBGene00001393"
