"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"B0393.4"	8	1	0	0	0	2	1	0	0	1	1	0
"B0393.5"	15	10	4	5	7	0	2	7	3	7	3	2
"B0393.6"	195	140	73	82	87	77	48	61	143	143	80	79
"B0393.7"	0	0	0	0	0	1	0	0	0	0	0	0
"B0393.9b"	2	4	2	2	4	1	2	3	0	1	2	0
"B0395.1"	3	0	1	0	0	0	0	0	1	1	0	1
"B0395.2"	1	0	0	0	0	0	0	0	0	0	0	1
"B0395.3.2"	22	23	15	12	16	14	12	22	32	32	19	13
"B0403.1"	1	0	0	1	2	0	1	0	0	0	0	0
"B0403.2"	2	0	1	2	0	0	1	0	1	1	1	0
"B0403.3"	1	1	0	0	0	0	0	1	1	1	3	0
"B0403.4"	195	101	60	48	97	59	36	23	67	47	32	34
"B0410.1"	1	0	0	0	0	0	0	0	0	0	0	0
"B0410.2a"	0	1	0	0	0	0	0	0	0	0	0	0
"B0410.3"	36	34	11	17	17	19	16	17	28	18	11	9
"B0412.2"	173	88	123	74	234	136	61	35	71	84	62	45
"B0412.3.2"	499	341	190	169	285	186	158	107	257	233	167	137
"B0412.4"	58	35	22	13	31	22	13	11	26	19	16	17
"B0414.1"	1	0	0	0	0	0	0	0	0	0	0	1
"B0414.2"	0	0	1	0	0	0	0	0	0	0	0	1
"B0414.3"	734	325	176	168	348	204	117	89	208	140	116	109
"B0414.5"	1615	805	437	312	860	452	260	246	635	572	438	330
"B0414.6"	807	383	228	156	319	219	158	138	328	233	190	177
"B0414.7a"	0	0	0	0	0	0	0	1	0	1	0	0
"B0414.8a"	6	7	2	1	1	2	4	1	6	1	7	4
"B0416.1"	0	0	0	0	0	3	0	0	1	0	0	0
"B0416.10"	14	5	5	1	9	4	1	4	13	11	7	4
"B0416.4"	12	12	9	5	8	8	11	8	10	11	3	6
"B0416.5a"	3	2	0	0	0	0	0	0	2	0	0	0
"B0416.6"	4113	3293	1945	1910	2546	2595	2352	1971	3547	2944	1783	1249
"B0432.1"	52	31	18	20	41	19	16	41	55	70	35	30
"B0432.10.2"	44	31	19	9	25	23	9	16	30	21	16	16
"B0432.11"	0	0	0	0	0	0	0	0	0	1	0	0
"B0432.13.2"	488	278	245	196	206	211	107	128	264	213	186	151
"B0432.2"	1114	894	643	547	851	650	497	757	1063	1657	869	667
"B0432.3"	128	54	37	22	76	32	15	25	57	38	24	26
"B0432.4.2"	136	79	50	34	53	51	42	30	65	54	44	36
"B0432.5c"	0	0	0	1	0	0	0	0	0	0	0	0
"B0432.7a"	17	27	20	11	12	15	8	8	29	35	29	20
"B0432.9"	25	15	4	5	5	12	7	6	13	9	11	4
"B0454.1"	116	49	37	21	35	37	18	25	39	48	27	25
"B0454.10"	0	0	1	0	0	0	0	0	0	1	0	0
"B0454.13"	0	1	0	0	0	0	0	0	0	0	0	0
"B0454.2"	5	5	3	1	4	1	1	2	3	4	1	1
"B0454.26"	10	1	2	4	7	1	1	2	1	2	2	0
"B0454.5"	1	0	0	0	0	1	0	0	0	0	0	0
"B0454.6"	1	0	0	0	0	0	0	0	0	0	0	0
"B0454.7"	2	1	1	3	0	0	1	0	3	0	0	0
"B0454.8"	43	11	9	15	32	16	7	17	17	12	8	8
"B0454.9"	419	123	86	118	446	99	63	53	246	116	83	90
"B0457.16"	2	2	4	3	0	2	0	2	1	4	1	4
"B0457.17"	5	2	0	0	10	0	0	0	0	0	0	0
"B0457.19"	1	0	0	0	0	0	0	0	0	0	0	0
"B0457.1c"	262	221	148	95	141	115	83	69	147	125	117	81
"B0457.2"	21	11	8	9	16	4	5	2	4	7	4	3
"B0457.3"	122	47	29	20	56	60	60	10	36	17	7	5
"B0457.4"	88	30	19	9	34	20	18	1	7	11	1	5
"B0457.6"	8	4	2	4	0	0	0	0	3	2	0	0
"B0462.1"	6	1	2	1	3	7	1	0	0	0	1	1
"B0462.2"	1	0	0	0	0	0	0	0	0	0	0	0
"B0462.3"	12	12	3	1	3	4	2	1	2	3	5	1
"B0462.4"	0	0	0	0	0	0	1	0	0	0	0	0
"B0462.5"	37	19	13	10	13	9	13	2	5	1	2	0
"B0464.1.2"	327	251	174	148	197	155	85	115	230	276	152	124
"B0464.2a"	376	178	104	96	199	104	62	47	172	110	99	83
"B0464.3.1"	62	19	13	10	45	17	5	9	16	22	11	9
"B0464.4a.1"	11	6	4	3	8	2	0	4	9	10	4	12
"B0464.4b"	0	0	0	0	0	0	0	0	2	0	0	0
"B0464.5d.2"	4	1	1	1	1	0	3	0	0	1	1	1
"B0464.6.1"	11	4	6	2	4	0	0	1	3	3	2	3
"B0464.7"	31	15	6	3	19	2	3	4	9	3	4	11
"B0464.8"	172	101	89	58	80	57	42	33	93	81	61	40
"B0464.9"	151	104	66	49	59	43	40	24	79	64	55	44
"B0478.3"	0	0	0	0	0	0	0	0	0	0	1	0
"B0491.1"	314	240	160	84	107	143	102	67	200	158	105	84
"B0491.3"	0	1	0	0	0	0	0	0	0	0	0	0
"B0491.4"	13	6	0	5	4	3	0	1	3	2	2	1
"B0491.6a"	3	3	0	0	0	1	0	0	0	0	0	1
"B0491.7"	522	555	299	161	192	263	130	123	375	273	205	188
"B0495.1"	1	4	0	0	1	0	0	1	1	0	0	0
"B0495.10c"	0	0	1	0	0	0	0	0	0	0	0	0
"B0495.2"	6620	2721	1658	1215	3182	1569	1250	1522	2601	3045	2148	1612
"B0495.4"	13	1	2	1	5	5	2	3	7	6	2	0
"B0495.5.2"	196	183	105	76	99	109	73	48	130	95	77	70
"B0495.6"	44	24	22	21	19	21	9	9	23	28	18	15
"B0495.8a"	268	140	75	67	175	95	61	57	123	129	87	61
"B0495.9"	139	105	79	69	80	82	45	59	111	128	98	65
"B0496.1"	0	0	3	1	1	0	1	0	1	0	0	0
"B0496.16"	0	0	0	0	0	1	0	0	0	0	0	0
"B0496.7"	4	2	0	1	1	0	0	0	1	1	0	0
"B0496.8"	14	18	3	6	6	4	5	3	8	5	2	4
"B0507.1"	2	1	3	1	1	2	10	15	17	21	1	1
"B0507.10"	3	0	0	0	0	1	0	1	0	0	0	0
"B0507.11"	0	0	0	1	0	0	2	0	0	2	4	0
"B0507.2"	3	2	1	0	6	4	5	5	7	11	0	0
"B0507.8"	1	0	1	0	0	1	2	0	0	0	1	0
"B0511.1"	10	8	2	2	3	4	2	1	6	8	4	4
"B0511.10"	558	255	133	105	237	135	98	94	238	208	159	137
"B0511.11"	1065	567	186	170	101	94	65	62	108	184	149	90
"B0511.12a"	0	0	0	1	0	0	0	0	0	0	0	0
