ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant
K03H6.5b	1	3	1	5	0	0	0.0490843435769985	28.7679216903609	29.7981318751489	-0.676022425702977	860.246300455217	538.044155333265	0
K03H6.5b	2	1	1	8	0	0	0.812836765621081	15.7988694339637	28.5099383813616	-0.457600886614424	761.277880830125	554.087854622798	0
K03H6.5b	1	1	1	9	0	0	-0.103816928837601	28.5099383813616	26.4609965149845	0.405350312033878	554.087854622798	734.164161873551	0
K03H6.5b	2	1	1	10	0	0	-0.157088586831881	26.4609965149845	23.6279303340198	-0.475481327592622	734.164161873551	527.749762999321	0
K03H6.5b	1	2	0	11	0	0	-0.0596955673331578	23.6279303340198	22.62967563148	0.284284493099177	527.749762999321	642.914708425807	0
K07A1.17	2	2	1	2	0	0	-0.0935701886830298	1772.28567641003	1660.92443259914	0.878344426251543	269.365552933532	496.003419161287	0
K07A1.17	1	6	1	4	0	0	0.0304605183388684	1839.49394899581	1878.76657808588	-0.697554044956547	508.510520323922	313.172714613958	0
K07A1.17	2	2	1	10	0	0	0.108562728287337	2159.21731562274	2328.04607702842	-0.260838425992111	629.283567320186	525.036396608579	0
K07A1.17	1	1	0	12	0	0	-0.365033661527736	2381.77336021327	1849.10618247902	1.19189679246685	317.304158422039	726.175098938682	0
K08A2.4	2	5	1	3	0	0	0.0292119320142668	482.888573055981	492.786297564209	0.89769148271786	132.530014114524	247.777419138726	0
K08A2.4	1	2	1	8	0	0	-0.185334522504352	639.854212075528	562.596117392203	-0.257404535256644	157.089086520502	131.256006171221	0
K08A2.4	2	1	1	10	0	0	-0.190754824426914	599.782587672982	525.373980368204	-0.326709695329471	194.223323246971	154.661884272294	0
K08A2.4	1	2	0	11	0	0	-0.106394208188865	525.373980368204	487.952380803787	-0.779097658645695	154.661884272294	89.7090290826707	0
K08B4.6	2	2	1	6	1	1	0.136820555479911	1573.34136300786	1729.95587508276	0.858243265163432	151.488160239463	275.435039472148	0
K08B4.6	1	2	1	8	1	1	-0.431887290972519	2551.51741358513	1891.15924596365	-0.441154421126848	239.66155507615	176.258065429926	0
K08B4.6	2	2	1	10	1	1	0.0469762886806127	2901.88928447664	2997.96739591062	0.164391504469615	314.641783660093	352.737630796461	0
K08B4.6	1	1	0	12	1	1	0.588397183417966	2507.65093091338	3770.94573976054	-0.0841369114723172	227.595129339368	214.644923355737	0
K10B4.6a	2	1	0	12	1	1	1.20115869623195	100.419185614692	232.187311869529	0.505466007261088	742.591407406552	1054.58884612059	0
K10B4.6b	2	1	1	8	0	0	NA	NA	NA	-0.534516101029085	138.963422691213	95.6293759247468	0
K10B4.6b	1	1	1	9	0	0	NA	NA	NA	1.10499400106726	95.6293759247468	206.847839258024	0
K10B4.6b	2	3	0	10	0	0	NA	NA	NA	-0.285033579891312	206.847839258024	169.585399421376	0
K10G6.3r	2	1	1	5	0	0	0.0478922278094203	1186.12354046411	1226.19312666238	1.40321128057345	451.164441990734	1194.92816050956	0
K10G6.3r	1	2	1	6	0	0	-2.50502063654115	1226.19312666238	215.185500622439	-0.405705504078572	1194.92816050956	901.766773066347	0
K10G6.3r	2	1	1	8	0	0	1.67249079003287	416.695181320791	1330.46379113021	-1.04513189884115	1452.06706899079	703.157175917256	0
K10G6.3r	1	4	0	9	0	0	-1.14386833923153	1330.46379113021	601.546654107315	0.237793571355571	703.157175917256	829.333590264567	0
M01D7.5	1	1	1	4	0	0	-0.685350274331125	100.248192886837	61.9616774869312	-1.05917697969887	239.680117859683	114.503773780729	0
M01D7.5	2	1	1	5	0	0	0.657811234602105	61.9616774869312	98.3338351879914	0.788461248147228	114.503773780729	198.501727210331	0
M01D7.5	1	7	0	6	0	0	-0.300868671698918	98.3338351879914	79.6355789705091	-2.23073376665696	198.501727210331	41.5039100574469	0
M01E5.1	2	1	1	4	0	0	0	0	0	0.709102527770078	140.893042255354	230.964877027794	0
M01E5.1	1	8	0	5	0	0	1.31609162211243	0	1.48990659375745	-0.937162198523278	230.964877027794	120.145782258884	0
M142.6c	2	3	1	6	0	0	-0.956725824096099	3338.88067661044	1719.78963095887	2.34699969270331	79.6618773673038	409.379476475726	0
M142.6c	1	4	0	9	0	0	-0.361076817671986	3761.41120378098	2928.35028099162	-0.166967669723326	86.2539469125168	76.7182126825536	1
R05G6.5	2	7	0	6	0	0	-0.572297890432182	35.7577582501787	23.7212362890878	0.313911449672794	394.391589588947	490.500755224373	0
R07H5.9	2	1	1	2	0	0	1.07217608115831	5.53262958296575	12.735522805872	1.90819011763362	48.2103120307175	183.704970059736	1
R07H5.9	1	10	0	3	0	0	0.282067945794964	12.735522805872	15.7015241870949	-0.77573672882334	183.704970059736	106.884376883372	0
R08E3.3b	1	1	1	3	0	0	-0.022447241253932	818.257340277277	805.608971753253	-0.814255433297922	208.636358853557	118.220598674033	0
R08E3.3b	2	6	1	4	0	0	0.167773877968905	805.608971753253	905.083074719817	1.18003531068587	118.220598674033	269.132801621371	0
R08E3.3b	1	3	0	10	0	0	0.0867830050760539	841.459689176508	893.691717927924	-0.153736094413508	122.360693645592	109.891338825051	0
R11G10.3	1	2	1	2	0	0	0.920742905434202	7.37683944395433	14.858109940184	-0.848198014640078	189.780275930443	104.974268605563	0
R11G10.3	2	1	1	4	0	0	-0.538300069301125	22.9483815042156	15.4904193717328	0.535953560616168	127.937360208885	185.946299302038	0
R11G10.3	1	1	1	5	0	0	-0.964684582160797	15.4904193717328	7.44953296878723	-0.56497547363174	185.946299302038	125.369511922314	0
R11G10.3	2	3	1	6	0	0	1.21671289322915	7.44953296878723	18.6381142271404	0.72253421464078	125.369511922314	207.519550287235	0
R11G10.3	1	1	1	9	0	0	-0.336958834863118	11.4039753525446	8.82033217166151	0.745012433762467	161.257379010357	270.941535929525	0
R11G10.3	2	3	0	10	0	0	1.74718762448781	8.82033217166151	31.9671998636738	-0.206306859635501	270.941535929525	234.706192799184	0
T06C12.7	2	1	1	3	0	0	-0.0509162897327746	251.526575415972	242.769720123544	0.275873609555783	354.288156543776	429.156967789297	0
T06C12.7	1	1	1	4	0	0	-0.545940570125691	242.769720123544	165.968778982851	-0.308068972761665	429.156967789297	346.447315541691	0
T06C12.7	2	4	1	5	0	0	0.510747487514961	165.968778982851	236.895148407434	0.415152682254648	346.447315541691	462.300075213534	0
T06C12.7	1	4	0	9	0	0	0.154765628861497	218.576194257106	243.441167937858	-1.47147903216186	273.762527157118	98.0827782397204	0
T07F10.6	1	1	1	2	0	0	0.371201412744129	20.2863084708744	26.5323391789	-0.355236387715295	196.667463363403	153.524867835636	0
T07F10.6	2	2	1	3	0	0	0.481559816169814	26.5323391789	37.442096138457	0.485782891182065	153.524867835636	215.388214022553	0
T07F10.6	1	5	1	5	0	0	-0.435954393076576	26.5550046372562	19.3687857188468	-1.08407391374403	197.690276100061	92.7212015258782	0
T07F10.6	2	2	1	10	0	0	0.0929845564607428	24.6969300806522	26.4076868439044	0.0867778526841834	186.454390317092	198.075746524167	0
T07F10.6	1	1	0	12	0	0	0.324230063703111	28.28709453935	35.6673280281505	0.253104753882894	164.46655331823	196.19792625788	0
T13H2.5a	2	1	1	2	0	0	-0.387360185923221	4256.43635916165	3253.9260769003	0.27070197234959	418.587947314325	505.188667664274	0
T13H2.5a	1	3	1	3	0	0	-4.29979697503627	3253.9260769003	164.26209918807	-0.347748852544967	505.188667664274	396.767762673124	0
T13H2.5a	2	4	1	6	0	0	-0.692474763311703	4110.65229217679	2543.25540499434	0.75480686116018	432.263629648813	730.091508737816	0
T13H2.5a	1	3	0	10	0	0	-1.40539994718332	3134.7460538085	1182.78639495593	-0.676894032277333	375.822130482889	234.706192799184	0
T26C11.5	2	1	0	12	0	0	0.0423342597405441	393.190614096965	404.929077025473	-1.30770638062145	244.207912502826	98.0548247693332	1
T26C11.9	2	1	0	12	0	0	1.14697525501532	15.5579019966425	35.6673280281505	-1.12647270865664	43.1932362249896	19.2420144738481	0
T26C12.4	2	1	1	3	0	0	-0.765087513028139	21.22587134312	12.0780955285345	0.987771594476698	152.212689478067	302.839067836221	0
T26C12.4	1	9	0	4	0	0	0.126591152328204	12.0780955285345	13.2775023186281	-1.40764344793735	302.839067836221	113.52510904756	0
T28C6.8	2	1	1	8	1	1	-0.290987006303423	404.846029245319	330.715285223795	-2.65024755720947	52.3630288401673	7.50034320978407	0
T28C6.8	1	4	0	9	1	1	0.19709488574887	330.715285223795	379.274283381445	0.680611983604927	7.50034320978407	12.6245160110531	0
VF11C1L.1	1	1	1	4	0	0	1.79727498568865	611.151633743847	2126.6132880336	-0.423791275689167	417.820745998636	311.215385147621	0
VF11C1L.1	2	5	1	5	0	0	-0.0867606365491103	2126.6132880336	2002.43446201001	0.633046532008926	311.215385147621	483.194993867253	0
VF11C1L.1	1	3	0	10	0	0	-0.437896786541536	1813.46029449361	1338.45275950947	0.127459639131184	218.501238652843	238.776242385297	0
W02C12.3h.1	2	2	1	1	0	0	-0.158170732092769	1031.12426395136	923.94914035528	1.85161954767943	344.257083998358	1245.05043926948	0
W02C12.3h.1	1	3	1	3	0	0	-1.88876796945291	763.070074785165	205.327623985087	-0.627262120768417	1373.85074037531	889.083680438959	0
W02C12.3h.1	2	2	1	6	0	0	-1.56741306450533	905.863209004527	304.987323716843	0.496299389667737	899.787434525776	1269.64233948463	0
W02C12.3h.1	1	5	0	8	0	0	0.896728137291841	466.066648301928	868.602789352151	-0.0866196291242254	356.471388642677	335.640358637837	1
W02D3.1	2	4	1	1	0	0	0.0187147320971466	2037.06075962299	2063.67083444622	0.976361369971986	346.833858579184	683.362041959217	0
W02D3.1	1	1	1	5	0	0	0.145711950725115	1792.4628130148	1983.06567629116	-0.637130962984706	713.446590479924	458.382277965961	0
W02D3.1	2	2	1	6	0	0	0.230244231097201	1983.06567629116	2326.37553035125	0.677783237228368	458.382277965961	733.864591470311	0
W02D3.1	1	5	0	8	0	0	-0.330283488134194	2877.36909566063	2288.39772074396	-0.155713741004927	306.122322450209	274.700070058341	0
W02G9.1	2	10	0	3	1	-1	-0.76516463433062	177.236025715052	103.871621545397	1.69760798803005	513.061737809691	1666.42460322712	1
W03F11.5	2	10	0	3	1	-1	-0.832382543158053	22.287164910276	12.0780955285345	0.464018053344009	421.209252779823	581.386231835312	0
